,season,fc,count_post,count_pre,mean_post,mean_pre,per_change,station
1,grow,high,486,442,0.084190392,0.079253799,6.228840641,Maumee
2,grow,low,567,814,0.028243332,0.025280644,11.71919611,Maumee
3,grow,moderate,532,558,0.057300245,0.043099521,32.94868221,Maumee
4,grow,v.high,123,138,0.098001155,0.105482838,-7.09279637,Maumee
5,winter,high,369,347,0.082941842,0.090718928,-8.572727143,Maumee
6,winter,low,93,164,0.026134707,0.087951454,-70.28507625,Maumee
7,winter,moderate,265,294,0.067786656,0.113434695,-40.24169071,Maumee
8,winter,v.high,122,165,0.093552378,0.107925493,-13.31762797,Maumee
9,grow,high,534,373,0.053452204,0.046798806,14.2170266,Tiffin
10,grow,low,533,858,0.060531311,0.061525651,-1.616139681,Tiffin
11,grow,moderate,507,586,0.047662326,0.036494111,30.60278786,Tiffin
12,grow,v.high,134,135,0.087049899,0.079061132,10.10454341,Tiffin
13,winter,high,387,344,0.04165223,0.051204906,-18.65578152,Tiffin
14,winter,low,82,170,0.01524669,0.023099744,-33.99628089,Tiffin
15,winter,moderate,274,274,0.021056353,0.03672384,-42.66298811,Tiffin
16,winter,v.high,106,182,0.087765242,0.089534502,-1.97606536,Tiffin
17,grow,high,449,506,0.13717041,0.113058324,21.32712212,Blanchard
18,grow,low,596,736,0.3449362,0.216740239,59.14728209,Blanchard
19,grow,moderate,549,557,0.209853355,0.160293483,30.91820749,Blanchard
20,grow,v.high,114,153,0.144129174,0.135214192,6.593228869,Blanchard
21,winter,high,330,364,0.106269382,0.097025581,9.52717869,Blanchard
22,winter,low,109,203,0.261063569,0.107761561,142.2603822,Blanchard
23,winter,moderate,277,255,0.186051809,0.129941032,43.18172381,Blanchard
24,winter,v.high,133,148,0.130346283,0.131551501,-0.916156819,Blanchard
25,grow,high,429,483,0.089691554,0.083989025,6.789611951,Sandusky
26,grow,low,676,787,0.026956773,0.016470442,63.66757548,Sandusky
27,grow,moderate,489,537,0.058002431,0.041760333,38.89360349,Sandusky
28,grow,v.high,114,145,0.121973146,0.123749199,-1.435204046,Sandusky
29,winter,high,358,374,0.075184181,0.068797516,9.283277873,Sandusky
30,winter,low,77,104,0.011350754,0.021514223,-47.24069507,Sandusky
31,winter,moderate,288,328,0.031824472,0.041290921,-22.92622412,Sandusky
32,winter,v.high,126,164,0.113535844,0.1127094,0.733251755,Sandusky
33,grow,high,430,451,0.115284639,0.108055378,6.69033018,Honey
34,grow,low,646,821,0.044479004,0.050106786,-11.23157701,Honey
35,grow,moderate,507,550,0.065621386,0.063967657,2.585257238,Honey
36,grow,v.high,125,130,0.170346928,0.185697727,-8.26655174,Honey
37,winter,high,382,382,0.073137111,0.076272014,-4.110161019,Honey
38,winter,low,64,113,0.027888688,0.039550593,-29.4860434,Honey
39,winter,moderate,264,321,0.03401247,0.044615452,-23.76526773,Honey
40,winter,v.high,139,154,0.133920961,0.153757439,-12.90115025,Honey
41,grow,high,489,427,0.034677967,0.027919366,24.20757211,Raisin
42,grow,low,662,823,0.038114172,0.020732291,83.83964835,Raisin
43,grow,moderate,428,553,0.037834541,0.022043269,71.63760967,Raisin
44,grow,v.high,129,149,0.049379472,0.047618073,3.699015369,Raisin
45,winter,high,382,346,0.028227325,0.028652268,-1.483103783,Raisin
46,winter,low,34,125,0.0087023,0.011738392,-25.86462936,Raisin
47,winter,moderate,319,342,0.013491297,0.014880108,-9.333336827,Raisin
48,winter,v.high,114,157,0.064274353,0.05818112,10.47286947,Raisin
