"period","season","station","mean","szn_total","total","per_flow"
"post","fall","Blanchard",5.08205647058824,6479.622,25063.0635,25.9
"post","fall","Maumee",106.522997647059,135816.822,503597.672,27
"post","fall","Raisin",14.035351372549,17895.073,67028.147,26.7
"post","fall","Tiffin",6.68438258823529,8522.5878,30289.1378,28.1
"post","frost","Blanchard",12.3414830769231,5615.3748,25063.0635,22.4
"post","frost","Maumee",217.970395604396,99176.53,503597.672,19.7
"post","frost","Raisin",24.3371384615385,11073.398,67028.147,16.5
"post","frost","Tiffin",11.3323318681319,5156.211,30289.1378,17
"post","spring","Blanchard",13.0928797142857,9165.0158,25063.0635,36.6
"post","spring","Maumee",274.585471428571,192209.83,503597.672,38.2
"post","spring","Raisin",38.8631828571429,27204.228,67028.147,40.6
"post","spring","Tiffin",16.7439,11720.73,30289.1378,38.7
"post","thaw","Blanchard",17.5255801843318,3803.0509,25063.0635,15.2
"post","thaw","Maumee",352.048341013825,76394.49,503597.672,15.2
"post","thaw","Raisin",50.0251059907834,10855.448,67028.147,16.2
"post","thaw","Tiffin",22.5327603686636,4889.609,30289.1378,16.1
"pre","fall","Blanchard",6.00514346046103,7326.27502176245,29863.8719568575,24.5
"pre","fall","Maumee",81.011497679485,98834.0271689717,532649.74074236,18.6
"pre","fall","Raisin",13.4319739547049,16387.00822474,73951.4639689192,22.2
"pre","fall","Tiffin",4.8617664835889,5931.35510997846,32159.6579777326,18.4
"pre","frost","Blanchard",12.3050634265176,8121.34186150165,29863.8719568575,27.2
"pre","frost","Maumee",222.298482697919,146716.998580627,532649.74074236,27.5
"pre","frost","Raisin",27.8316534530433,18368.8912790086,73951.4639689192,24.8
"pre","frost","Tiffin",13.68931007202,9034.94464753322,32159.6579777326,28.1
"pre","spring","Blanchard",11.7226950907862,8721.68514754497,29863.8719568575,29.2
"pre","spring","Maumee",256.861374951647,191104.862964025,532649.74074236,35.9
"pre","spring","Raisin",34.1425962949371,25402.0916434332,73951.4639689192,34.3
"pre","spring","Tiffin",14.7793829270184,10995.8608977017,32159.6579777326,34.2
"pre","thaw","Blanchard",27.377740029079,5694.56992604843,29863.8719568575,19.1
"pre","thaw","Maumee",461.50890398431,95993.8520287364,532649.74074236,18
"pre","thaw","Raisin",66.3147731814301,13793.4728217375,73951.4639689192,18.7
"pre","thaw","Tiffin",29.7956602044195,6197.49732251925,32159.6579777326,19.3
