"season","fc","count_post","count_pre","mean_post","mean_pre","se_post","se_pre","per_change","station"
"grow","high",449,507,0.137169532293987,0.113111548175239,0.0023927563831906,0.00222805860247383,21.2692554446122,"Blanchard"
"grow","low",596,736,0.344936409395973,0.216740705234933,0.00451087230817326,0.00510628576352338,59.1470365578465,"Blanchard"
"grow","moderate",549,556,0.209854280510018,0.160329694249488,0.0021732267249214,0.00289450063245984,30.8892164314022,"Blanchard"
"grow","v.high",114,153,0.144125526315789,0.13521007247625,0.00527792994583594,0.00516569163390717,6.59377935109528,"Blanchard"
"winter","high",330,364,0.106269484848485,0.0970256843956787,0.0022719472735644,0.00202484256928232,9.52716851252419,"Blanchard"
"winter","low",109,203,0.261064220183486,0.107761980247627,0.00485920219218188,0.00673921411886456,142.260043462069,"Blanchard"
"winter","moderate",277,255,0.186051624548736,0.129940693434943,0.00251534778204083,0.00457425784504087,43.1819544982543,"Blanchard"
"winter","v.high",133,148,0.130348872180451,0.131551746476107,0.0044561222738452,0.00310408798985705,-0.91437349018693,"Blanchard"
"grow","high",534,373,0.0534547958801498,0.0468097812194727,0.00185833728670386,0.00169571524062128,14.1957823505332,"Tiffin"
"grow","low",533,858,0.060534052532833,0.0615303467630614,0.000816661587333796,0.000868691168569304,-1.61919163898886,"Tiffin"
"grow","moderate",507,586,0.0476658441814596,0.0364952311250964,0.00110325340609317,0.00089951529409919,30.6084184480792,"Tiffin"
"grow","v.high",134,135,0.0870444776119403,0.0790329557726015,0.00410667245367332,0.00333780899837,10.1369381431084,"Tiffin"
"winter","high",387,344,0.0416523746770026,0.051229721633544,0.00163251536885493,0.00188559359838151,-18.6949033708401,"Tiffin"
"winter","low",82,170,0.0152465,0.0231035096226211,0.0012343535715554,0.000944845659923513,-34.0078617965823,"Tiffin"
"winter","moderate",274,274,0.0210584619708029,0.0367024077185751,0.000943835101895913,0.00158817911401065,-42.6237588218355,"Tiffin"
"winter","v.high",106,182,0.0877494339622641,0.0895414139083367,0.00421174275259299,0.00264299714907271,-2.00128618463295,"Tiffin"
"grow","high",486,441,0.0841903004115226,0.0792206297366138,0.00188754954946932,0.00210493065633074,6.27320268903637,"Maumee"
"grow","low",567,816,0.0282432731922399,0.0253198046783436,0.00111357699512589,0.000771146943054993,11.546173246734,"Maumee"
"grow","moderate",532,556,0.0573005026315789,0.0431060754639492,0.00190908474837241,0.00163018113115233,32.9290639773063,"Maumee"
"grow","v.high",123,139,0.0980019512195122,0.10539906962457,0.00365391282744041,0.00325684599912022,-7.01820085452936,"Maumee"
"winter","high",369,347,0.082942298102981,0.0907189757807122,0.0019941697235529,0.00236264077999566,-8.57227235074739,"Maumee"
"winter","low",93,166,0.0261347956989247,0.0882591460441831,0.00301946979695702,0.00239879450220469,-70.3885694907568,"Maumee"
"winter","moderate",265,292,0.067786979245283,0.113434646835391,0.00205875189460465,0.00301835195615324,-40.2413802692479,"Maumee"
"winter","v.high",122,165,0.0935545081967213,0.107925385066165,0.00247934271684649,0.00214224890006808,-13.3155669174899,"Maumee"
"grow","high",489,427,0.0346779964417178,0.0279194641509342,0.00132420924602444,0.000899968365453943,24.2072421384829,"Raisin"
"grow","low",662,823,0.0381142416918429,0.0207323739536478,0.000753718766909027,0.000578746848356809,83.8392543808849,"Raisin"
"grow","moderate",428,553,0.0378345841121495,0.0220432766202478,0.00108768661404335,0.000771142422805832,71.6377504304265,"Raisin"
"grow","v.high",129,149,0.0493793798449612,0.0476185428293594,0.00220064797251477,0.00210465123978986,3.69779693156874,"Raisin"
"winter","high",382,346,0.0282274947643979,0.0286525393862566,0.00155154395874468,0.000870084750920073,-1.48344485676733,"Raisin"
"winter","low",34,125,0.00870264705882353,0.0117385192,0.00126616213158596,0.000888090965992965,-25.862479665889,"Raisin"
"winter","moderate",319,342,0.0134912869905956,0.0148799992685413,0.000616274634607836,0.000557717134491029,-9.33274426216948,"Raisin"
"winter","v.high",114,157,0.0642742105263158,0.058181331144915,0.00314192462871585,0.00183105568851979,10.4722240992131,"Raisin"
