span_start,span_end,unit_change,unit_slope,per_change,per_slope,station,scenario,type,season
2009,2015,0.011,0.0019,24,4,Maumee,pre,conc,offseason
2009,2021,0.013,0.0011,27,2.2,Maumee,all,conc,offseason
2015,2021,0.0014,0.00023,2.3,0.39,Maumee,post,conc,offseason
2009,2015,0.01,0.0017,16,2.7,Tiffin,pre,conc,offseason
2009,2021,-0.001,-8.5e-05,-1.6,-0.14,Tiffin,all,conc,offseason
2015,2021,-0.011,-0.0019,-15,-2.6,Tiffin,post,conc,offseason
2009,2015,0.13,0.022,86,14,Blanchard,pre,conc,offseason
2009,2021,0.18,0.015,118,9.8,Blanchard,all,conc,offseason
2015,2021,0.049,0.0082,17,2.9,Blanchard,post,conc,offseason
2009,2015,0.0055,0.00092,13,2.1,Sandusky,pre,conc,offseason
2009,2021,0.025,0.0021,58,4.8,Sandusky,all,conc,offseason
2015,2021,0.02,0.0033,40,6.7,Sandusky,post,conc,offseason
2009,2015,-0.0089,-0.0015,-10,-1.7,Honey,pre,conc,offseason
2009,2021,-0.0084,-7e-04,-9.9,-0.83,Honey,all,conc,offseason
2015,2021,0.00048,8.1e-05,0.64,0.11,Honey,post,conc,offseason
2009,2015,0.015,0.0025,64,11,Raisin,pre,conc,offseason
2009,2021,0.025,0.002,107,8.9,Raisin,all,conc,offseason
2015,2021,0.0098,0.0016,26,4.3,Raisin,post,conc,offseason
