span_stat,span_end,unit_change,unit_slope,per_change,per_slope,station,scenario,type,season
2009,2015,67,11,11,1.8,Maumee,pre,flux,offseason
2009,2021,113,9.4,18,1.5,Maumee,all,flux,offseason
2015,2021,46,7.6,6.5,1.1,Maumee,post,flux,offseason
2009,2015,7,1.2,22,3.7,Tiffin,pre,flux,offseason
2009,2021,2.5,0.21,8,0.67,Tiffin,all,flux,offseason
2015,2021,-4.5,-0.75,-12,-2,Tiffin,post,flux,offseason
2009,2015,5.4,0.9,12,2,Blanchard,pre,flux,offseason
2009,2021,16,1.3,34,2.8,Blanchard,all,flux,offseason
2015,2021,10,1.7,20,3.3,Blanchard,post,flux,offseason
2009,2015,19,3.1,12,2.1,Sandusky,pre,flux,offseason
2009,2021,83,6.9,55,4.6,Sandusky,all,flux,offseason
2015,2021,64,11,38,6.3,Sandusky,post,flux,offseason
2009,2015,1.6,0.26,6.6,1.1,Honey,pre,flux,offseason
2009,2021,6.1,0.51,25,2.1,Honey,all,flux,offseason
2015,2021,4.5,0.76,18,2.9,Honey,post,flux,offseason
2009,2015,13,2.2,33,5.5,Raisin,pre,flux,offseason
2009,2021,12,1,30,2.5,Raisin,all,flux,offseason
2015,2021,-1,-0.17,-1.9,-0.31,Raisin,post,flux,offseason
