"Year1","Year2","change_mgL","slope_mgL_yr","change_%","slope_%_yr","station"
2009,2015,-4.4,-0.73,-11,-1.9,"Blanchard"
2009,2021,-1.9,-0.16,-4.9,-0.41,"Blanchard"
2015,2021,2.5,0.41,7.2,1.2,"Blanchard"
2009,2015,3.1,0.51,6.3,1.1,"Tiffin"
2009,2021,-1.8,-0.15,-3.8,-0.31,"Tiffin"
2015,2021,-4.9,-0.82,-9.5,-1.6,"Tiffin"
2009,2015,-8.6,-1.4,-12,-2,"Maumee"
2009,2021,-6.5,-0.55,-9.2,-0.77,"Maumee"
2015,2021,2.1,0.35,3.4,0.56,"Maumee"
2009,2015,3.1,0.51,14,2.3,"Raisin"
2009,2021,5.1,0.43,23,1.9,"Raisin"
2015,2021,2.1,0.34,8.1,1.4,"Raisin"
