"initialflux","initialFNflux","perFlux","perFNFlux","finalflux","finalFNflux","station","year1","year2","season","span","perSlopeFlux","perSlopeFNFlux"
"47.67","31.78","32.69","32.09","28.08","31.91","Blanchard","2008","2022","winter","14","-2.94","0.03"
"39.45","34.13","34.15","34.08","23.42","32.26","Chickasaw","2009","2022","winter","13","-3.13","-0.42"
"42.96","33.62","32.75","33.4","24.75","31.72","Honey","2008","2022","winter","14","-3.03","-0.4"
"57.95","32.9","32.67","33.17","10.82","32.71","Maumee","2008","2022","winter","14","-5.81","-0.04"
"6.55","30.26","32.75","30.3","18.6","29.47","Portage","2011","2022","winter","11","16.72","-0.24"
"49.32","30.55","26.14","30.66","3.18","29.14","Raisin","2008","2022","winter","14","-6.68","-0.33"
"48.67","33.31","33.8","34.04","22.49","33.73","Sandusky","2008","2022","winter","14","-3.84","0.09"
"51.18","28.99","25.66","28.7","2.01","28.39","Tiffin","2008","2022","winter","14","-6.86","-0.15"
"71.95","57.32","60.75","55.7","52.24","54.79","Blanchard","2008","2022","spring","14","-1.96","-0.32"
"85.58","51.5","51.42","53.27","31.46","57.34","Chickasaw","2009","2022","spring","13","-4.86","0.87"
"67.2","54.77","58.17","54.5","49.49","55.47","Honey","2008","2022","spring","14","-1.88","0.09"
"65.28","58.73","61","57.33","37.07","57.52","Maumee","2008","2022","spring","14","-3.09","-0.15"
"48.42","54.67","55.73","53.86","41.53","53.95","Portage","2011","2022","spring","11","-1.29","-0.12"
"56.41","56.81","65.46","56.85","22.97","59.73","Raisin","2008","2022","spring","14","-4.23","0.37"
"65.95","57.34","60.55","55.26","48.06","54.01","Sandusky","2008","2022","spring","14","-1.94","-0.41"
"65.52","58.5","66.1","58.39","33.72","60.09","Tiffin","2008","2022","spring","14","-3.47","0.19"
"0.76","3.19","3.35","3.43","3.99","3.52","Blanchard","2008","2022","summer","14","30.36","0.74"
"1.44","3.58","4.13","2.87","0.48","2.11","Chickasaw","2009","2022","summer","13","-5.13","-3.16"
"0.14","1.47","1.38","1.46","1.24","1.59","Honey","2008","2022","summer","14","56.12","0.58"
"0.97","1.68","1.98","1.69","1.46","1.65","Maumee","2008","2022","summer","14","3.61","-0.13"
"0.48","3.1","1.94","3.45","2.16","3.59","Portage","2011","2022","summer","11","31.82","1.44"
"1.52","2.82","4.59","2.72","1.36","2.65","Raisin","2008","2022","summer","14","-0.75","-0.43"
"0.28","1.99","1.75","2.07","2.59","2.25","Sandusky","2008","2022","summer","14","58.93","0.93"
"1.48","2.61","3.23","2.49","1.35","2.16","Tiffin","2008","2022","summer","14","-0.63","-1.23"
"0.34","7.94","7.93","8.61","4.59","9.29","Blanchard","2008","2022","fall","14","89.29","1.21"
"1.71","10.99","11.18","9.8","23.68","8.2","Chickasaw","2009","2022","fall","13","98.83","-1.95"
"0.23","10.26","10.55","10.52","9.51","11.15","Honey","2008","2022","fall","14","288.2","0.62"
"0.5","7.04","8.87","7.7","47.4","7.83","Maumee","2008","2022","fall","14","670","0.8"
"31.43","11.42","13.71","12.26","35.29","12.71","Portage","2011","2022","fall","11","1.12","1.03"
"1.39","9.29","14.1","9.36","98.34","8.4","Raisin","2008","2022","fall","14","498.2","-0.68"
"0.22","7.41","7.92","8.3","6.89","9.39","Sandusky","2008","2022","fall","14","216.56","1.91"
"0.52","9.86","13.27","10.23","70.76","9.3","Tiffin","2008","2022","fall","14","964.84","-0.41"
