"initalconc","intitalflux","finalconc","finalflux","totalChangeConc","totalChangeFlux","perChangeConc","perChangeFlux","station","year1","year2","season","span","perSlopeConc","perSlopeFlux"
"0.325","0.141","0.378","0.159","0.053","0.019","16.358","13.232","Blanchard","2015","2021","annual","6","2.72633333333333","2.20533333333333"
"0.202","0.0739","0.218","0.0795","0.016","0.006","8.049","7.63","Honey","2015","2021","annual","6","1.3415","1.27166666666667"
"0.228","2.36","0.245","2.62","0.017","0.258","7.364","10.932","Maumee","2015","2021","annual","6","1.22733333333333","1.822"
"0.1044","0.143","0.1135","0.161","0.009","0.018","8.74","12.912","Raisin","2015","2021","annual","6","1.45666666666667","2.152"
"0.195","0.549","0.239","0.67","0.045","0.121","22.908","22.072","Sandusky","2015","2021","annual","6","3.818","3.67866666666667"
"0.176","0.0936","0.169","0.0976","-0.007","0.004","-3.828","4.295","Tiffin","2015","2021","annual","6","-0.638","0.715833333333333"
"0.285","0.185","0.348","0.207","0.063","0.022","22.094","12.115","Blanchard","2015","2021","winter","6","3.68233333333333","2.01916666666667"
"0.201","0.1023","0.201","0.1025","0","0","-0.037","0.253","Honey","2015","2021","winter","6","-0.00616666666666667","0.0421666666666667"
"0.262","3.21","0.267","3.47","0.004","0.263","1.678","8.192","Maumee","2015","2021","winter","6","0.279666666666667","1.36533333333333"
"0.1055","0.184","0.0977","0.19","-0.008","0.006","-7.377","3.343","Raisin","2015","2021","winter","6","-1.2295","0.557166666666667"
"0.2","0.771","0.239","0.92","0.04","0.149","19.949","19.311","Sandusky","2015","2021","winter","6","3.32483333333333","3.2185"
"0.133","0.1084","0.124","0.1121","-0.008","0.004","-6.356","3.459","Tiffin","2015","2021","winter","6","-1.05933333333333","0.5765"
"0.317","0.188","0.351","0.211","0.034","0.023","10.704","12.241","Blanchard","2015","2021","spring","6","1.784","2.04016666666667"
"0.243","0.0961","0.263","0.1057","0.021","0.01","8.587","9.985","Honey","2015","2021","spring","6","1.43116666666667","1.66416666666667"
"0.248","3.2","0.275","3.61","0.027","0.409","10.94","12.78","Maumee","2015","2021","spring","6","1.82333333333333","2.13"
"0.1156","0.19","0.1354","0.23","0.02","0.039","17.116","20.626","Raisin","2015","2021","spring","6","2.85266666666667","3.43766666666667"
"0.24","0.726","0.289","0.877","0.049","0.151","20.417","20.779","Sandusky","2015","2021","spring","6","3.40283333333333","3.46316666666667"
"0.193","0.13","0.198","0.139","0.005","0.01","2.632","7.632","Tiffin","2015","2021","spring","6","0.438666666666667","1.272"
"0.397","0.0292","0.448","0.0346","0.051","0.005","12.856","18.554","Blanchard","2015","2021","summer","6","2.14266666666667","3.09233333333333"
"0.14","0.00608","0.164","0.00759","0.024","0.002","17.266","24.758","Honey","2015","2021","summer","6","2.87766666666667","4.12633333333333"
"0.165","0.242","0.18","0.264","0.015","0.022","9.345","8.876","Maumee","2015","2021","summer","6","1.5575","1.47933333333333"
"0.0893","0.0231","0.1049","0.0261","0.016","0.003","17.468","12.849","Raisin","2015","2021","summer","6","2.91133333333333","2.1415"
"0.135","0.0652","0.176","0.0909","0.041","0.026","30.187","39.341","Sandusky","2015","2021","summer","6","5.03116666666667","6.55683333333333"
"0.207","0.0147","0.189","0.0132","-0.018","-0.001","-8.635","-10.193","Tiffin","2015","2021","summer","6","-1.43916666666667","-1.69883333333333"
"0.358","0.0736","0.423","0.0861","0.089","0.015","26.778","21.941","Blanchard","2015","2021","fall","6","4.463","3.65683333333333"
"0.166","0.0455","0.185","0.0519","0.021","0.008","12.865","17.623","Honey","2015","2021","fall","6","2.14416666666667","2.93716666666667"
"0.193","1.16","0.2","1.21","0.01","0.107","5.505","9.696","Maumee","2015","2021","fall","6","0.9175","1.616"
"0.0928","0.0861","0.0903","0.082","0.001","0","0.915","-0.243","Raisin","2015","2021","fall","6","0.1525","-0.0405"
"0.137","0.274","0.176","0.359","0.044","0.101","33.44","39.026","Sandusky","2015","2021","fall","6","5.57333333333333","6.50433333333333"
"0.165","0.0618","0.141","0.0556","-0.023","-0.005","-13.829","-7.936","Tiffin","2015","2021","fall","6","-2.30483333333333","-1.32266666666667"
